a	It is a little speech that I have written for him.
aardvark	She was kinda chubby, even for an aardvark.
abaca	Plants valuable for their fibre number about 300, and among them is the abaca (Musa texilis), from the leaves of which Manila hemp is made.
aback	He was taken aback momentarily, but he recovered swiftly.
aba	The men wear a tarbush with white roll, a black under-robe with white girdle, a short loose jacket, and when necessary an aba or parti-coloured cloak over all.
abaci	In 1202 he was again in Italy and published his great work, Liber abaci, which probably procured him access to the learned and refined court of the emperor Frederick II.
aa	The southeastern corner of the province is traversed by the Westerwolde Aa, which discharges into the Dollart.
abacus	One of the oldest manipulatives you're probably familiar with is the abacus, the ancient counting device in which beads strung on wires are used to represent single digits and groups of numbers.
abaddon	The distinction of good and bad angels is recognized; we have names, Gabriel 4, and the evil angels Abaddon or Apollyon', Beelzebub 6, and Satan'; ranks are implied, archangels 8, principalities and powers9, thrones and dominions 10.
abandon	She couldn't abandon her babies to him, even if he was their father.
abandoned	It was bad enough that I abandoned her.
abalone	I'll have the abalone slices with the oyster sauce, please.
abaft	Bertram Elliot, waiting to lead the Royals just abaft the bridge, was struck down by a shell which did fearful execution forward.
abase	The demotion did not abase his credibility with his peers.
aaa	One arbitrator shall be selected using AAA procedures.
abashed	He was pleased at the gratitude he received, but felt abashed at receiving it.
abate	In an hour or so the storm would abate and they could leave.
abatement	His obesity did not cause any abatement of activity when next he took the field.
abasement	Only an evil man would delight in the abasement of his children.
ab	In nonflowering plants the works usually followed are for ferns, Hooker and Baker's Synopsis filicum; for mosses, Muller's Synopsis muscorum frondosorum, Jaeger & Sauerbeck's Genera et species muscorum, and Engler & Prantl's Pflanzenfamilien; for algae, de Toni's Sylloge algarum; for hepaticae, Gottsche, Lindenberg and Nees ab Esenbeck's Synopsis hepaticarum, supplemented by Stephani's Species hepaticarum; for fungi, Saccardo's Sylloge fungorum, and for mycetozoa Lister's monograph of the group. For the members of large genera, e.g.
abattoir	A small local abattoir is used to reduce travel time.
abbess	The special feature of the institute was that the abbess ruled the monks as well as the nuns.
abaya	Not all Muslim brides in Asia would wear the white abaya.
abaxial	The abaxial surface of these leaves is covered with a suspicious gray film.
abbreviate	If the space is small, you can always abbreviate.
abbreviation	This is shown by the permanent abbreviation of the proper names Gaius and Gnaeus by C. and Cn.
abbacy	The date of his promotion to the abbacy is uncertain.
abb	The promontory of St Abb's Head is 3 m.
abc	Hence in trilinear co-ordinates, with ABC as fundamental triangle, its equation is Pa+Q/1+R7=o.
abandonment	Nine days after the abandonment of Moscow, a messenger from Kutuzov reached Petersburg with the official announcement of that event.
abbreviated	It has been often reprinted, especially in an abbreviated form.
abdicate	He agreed to abdicate and retire in favor of the next in line for the throne.
abduct	If someone attempts to abduct you, make noise.
abduction	We tried to help with the South Carolina abduction of a girl taken from her bedroom.
abbot	It was a different Howie Abbot who took the news.
abdication	After his abdication Northumbrian history degenerates into a record of dynastic murders.
abbey	In England there was once a famous abbey, called Whitby.
abed	She is resting abed after enduring a painful oral surgery.
abductor	Our abductor was nowhere in sight.
abdominal	Difference of opinion as to the nature of the abdominal appendages pre vails.
abeam	We spotted land abeam of the ship.
aberrant	They are not tales of aberrant individuals but of societal norms.
aberration	She is normally calm and level headed, so this outburst is an aberration.
abdomen	The abdomen under the wings of the butterfly still represents the larva.
abele	Of the European kinds one of the most important and best marked forms is the white poplar or abele, P. alba, a tree of large size, with rounded spreading head and curved branches, which, like the trunk, are covered with a greyish white bark, becoming much furrowed on old stems. The leaves are ovate or nearly round in general outline, but with deeply waved, more or less lobed and indented margins and cordate base; the upper side is of a dark green tint, but the lower surface is clothed with a dense white down, which likewise covers the young shoots - giving, with the bark, a hoary aspect to the whole tree.
abet	Try not to aid, abet, counsel or procure dishonesty.
abhorrent	The idea of the sovereignty of the people was to him utterly abhorrent, and even any delegation of sovereign power on his own part would have seemed a betrayal of a God-given trust.
abhor	I abhor this type of insulting behavior.
abettor	The burglar partly blames his actions on his uncle, the abettor of his crimes.
abide	I don't need to abide by the rules.
abhorrence	I could sense Howie's abhorrence at visiting his past.
abigail	His mother, Abigail Hussey, whom the poet strongly resembled, was of good stock.
ability	Freedom from that ugly feeling gave her the ability to speak of it lightly for the first time.
abeyance	This regulation fell into abeyance after the 12th century, and such inscriptions are very rare.
abiding	It is under the abiding influence of the Holy Ghost, and therefore cannot err in matters of faith.
abies	Conifers are rare, and the Scotch pine, which is abundant on the sandy plains, takes the place of the Abies.
abiological	On the other hand, the biological sciences are sharply marked off from the abiological, or those which treat of the phenomena manifested by not-living matter, in so far as the properties of living matter distinguish it absolutely from all other kinds of things, and as the present state of knowledge furnishes us with no link between the living and the not-living.
abiotic	It is also of a size and composition that is ideally suited to be formed by abiotic peptide synthesis.
abiogenesis	So far the theory of abiogenesis may be taken as disproved.
abject	The poor surroundings caused abject misery.
abjure	He was asked whether certain books had been written by him and whether he was prepared to maintain or to abjure what he had written.
ablaze	The trees were ablaze in fall color.
ablation	Laser therapy laser therapy Laser therapy is sometimes called laser ablation.
abjuration	The direct result of this investigation is not known, but it is impossible to disconnect from it the promulgation by Pope Alexander V., on the 20th of December 1409, of a bull which ordered the abjuration of all Wycliffite heresies and the surrender of all his books, while at the same time - a measure specially levelled at the pulpit of Bethlehem chapel - all preaching was prohibited except in localities which had been by long usage set apart for that use.
able	His father was never able to get custody of him as a child.
ablative	These include oesophageal stents - either rigid plastic or self-expanding metallic stents (SEMS) and local tumor ablative techniques such as laser therapy.
ably	The polyzoic view is ably championed by Braun (2) and (3).
abnegation	This instance of abnegation is the more worthy of record that it formed a marked exception to Laplace's usual course.
abnormal	The child's abnormal behavior was disturbing to those around him.
ablution	If one needed to do ablution once, I did it twice.
aboard	Climbing aboard, he slapped the reins to the team.
abm	It is the United States ' decision to withdraw from the ABM Treaty of 1972, which Russia considers erroneous.
abolish	He wished to control, not to abolish them.
abo	On the 23rd of January 1743, direct negotiations between the two powers were opened at Abo, and on the 7th of August 1743 Sweden ceded to Russia all the southern part of Finland east of the river Kymmene, which thus became the boundary between the two states, including the fortresses of Villmanstrand and Fredrikshamn.
abnormality	The x-ray shows a slight abnormality in your spine, which explains the pain you've been experiencing.
abnormally	The skull is abnormally thick and the cerebral capacity small.
abode	Huygens had before this time fixed his abode in France.
abolishment	Abolishment of slavery was a huge milestone in America's history.
abolitionist	In 1865 at the close of the war, he declared that, slavery being abolished, his career as an abolitionist was ended.
abolitionism	Abraham Lincoln hated slavery and became an advocate of abolitionism.
abominable	It's abominable! she screamed.
abominably	The child was abominably rude to the guests, so he was sent to his room for the rest of the evening.
abort	After their car broke down, they had to abort their plans for a weekend getaway.
abomination	This second writer singles out three of the Maccabean priest kings for attack, the first of whom he charges with every abomination; the people itself, he declares, is apostate, and chastisement will follow speedily - the temple will be laid waste, the nation carried afresh into captivity, whence, on their repentance, God will restore them again to their own land, where they shall enjoy the blessedness of God's presence and be ruled by a Messiah sprung from Judah.
aboral	Woltereck considers the siphonophores most nearly allied to the Narcomedusae, producing like the buds from an aboral stolon, the first bud being represented by the pneumatophore or protocodon, in different cases.
aboriginally	Curtius supposed that the population of this part of Asia was aboriginally of Ionic race and that the settlers from Greece found the country in the possession of a kindred people.
aborigines	The aborigines of Australia furnish an example.
abolition	When the majority shall at length vote for the abolition of slavery, it will be because they are indifferent to slavery, or because there is but little slavery left to be abolished by their vote.
abortifacient	The oil of savin is now occasionally used criminally as an abortifacient.
abounding	Regular physical exercise in the open air contributed much to his abounding vitality.
about	Do you want to tell me about it?
above	The figure above me answered.
aborted	He explained his aborted visit to Lydia Larkin and watching as she embraced her boss.
abortion	And I don't believe in abortion either.
aboriginal	Travelling on the water was an important activity in aboriginal times.
abovementioned	In this poem, which was written 593 A.H., at the request of Nur-uddin Arslan of Mosul, the son and successor of the abovementioned `Izz-uddin, Nizami returned once more from his excursion into the field of heroic deeds to his old favourite domain of romantic fiction, and added a fresh leaf to the laurel crown of immortal fame with which the unanimous consent of Eastern and Western critics has adorned his venerable head.
abortive	The invasion of the Goths and the death of Decius put an end to the abortive attempt.
abrade	However, do not abrade the skin by using a scrub brush.
abrasion	It was clean but showed fresh blood, and the abrasion looked painful.
abrasive	Other mineral products are graphite, garnet used as an abrasive, pyrite and zinc ore.
abridge	He wrote because he liked to write; he did not abridge, because he cared not to abridge.
abridgment	The Latin text is much shorter than the Welsh, but we do not know whether this abridgment was made on purpose, or whether the translation is an imitation of an earlier text.
abroad	So, as you are now too old to wander abroad and work in a circus, I offer you a home here as long as you live.
abound	Ducks, cranes and other aquatic birds abound in the delta.
abrogate	The ministry proposed to abrogate the electoral law of 1850, and restore universal suffrage; the Assembly by refusing made itself still more unpopular.
abreast	He insisted on being kept abreast of the news.
abruptly	He turned abruptly and left the room.
abreaction	Resentment is generated by the abreaction of guilt, and bitterness by the abreaction of pride.
abrogation	What we should seek, therefore, is to avoid the abrogation of, or unilateral withdrawal from, these treaties.
abscissa	A curve with I as abscissa and u as ordinate is called the curve of velocities or velocity-time curve.
